Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
DIS,WALT DISNEY,Communication,Equity,"15,203,515.60",0.26,"15,203,515.60","131,110.00",115.96,United States,New York Stock Exchange Inc.,USD,1,USD,-
RTX,RTX CORP,Industrials,Equity,"15,122,748.90",0.26,"15,122,748.90","97,034.00",155.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"15,110,837.56",0.26,"15,110,837.56","182,476.00",82.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
RY,ROYAL BANK OF CANADA,Financials,Equity,"14,832,828.28",0.26,"14,832,828.28","102,904.00",144.14,Canada,Toronto Stock Exchange,USD,1.38,CAD,-
SIE,SIEMENS N AG,Industrials,Equity,"14,827,970.84",0.26,"14,827,970.84","55,324.00",268.02,Germany,Xetra,USD,0.85,EUR,-
CAT,CATERPILLAR INC,Industrials,Equity,"14,755,826.40",0.25,"14,755,826.40","34,195.00",431.52,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"14,288,842.09",0.25,"14,288,842.09","99,553.00",143.53,United States,NASDAQ,USD,1,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"13,926,968.32",0.24,"13,926,968.32","14,992.00",928.96,United States,New York Stock Exchange Inc.,USD,1,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"13,850,351.60",0.24,"13,850,351.60","144,440.00",95.89,United States,New York Stock Exchange Inc.,USD,1,USD,-
MS,MORGAN STANLEY,Financials,Equity,"13,718,530.80",0.24,"13,718,530.80","87,720.00",156.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"13,707,645.30",0.24,"13,707,645.30","121,393.00",112.92,Australia,Asx - All Markets,USD,1.51,AUD,-
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"13,404,725.24",0.23,"13,404,725.24","685,200.00",19.56,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"13,386,006.95",0.23,"13,386,006.95","304,435.00",43.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
C,CITIGROUP INC,Financials,Equity,"13,310,044.00",0.23,"13,310,044.00","133,850.00",99.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"13,203,031.66",0.23,"13,203,031.66","40,586.00",325.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"13,178,437.56",0.23,"13,178,437.56","27,486.00",479.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"13,166,737.43",0.23,"13,166,737.43","20,381.00",646.03,United States,NASDAQ,USD,1,USD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"13,029,009.84",0.22,"13,029,009.84","2,387.00","5,458.32",United States,NASDAQ,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"12,944,458.04",0.22,"12,944,458.04","79,988.00",161.83,United States,NASDAQ,USD,1,USD,-
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"12,899,311.33",0.22,"12,899,311.33","832,200.00",15.5,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"12,822,446.59",0.22,"12,822,446.59","441,800.00",29.02,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"12,787,133.49",0.22,"12,787,133.49","233,680.00",54.72,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.37,DKK,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"12,757,642.20",0.22,"12,757,642.20","81,140.00",157.23,United States,NASDAQ,USD,1,USD,-
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"12,722,306.81",0.22,"12,722,306.81","88,769.00",143.32,Canada,Toronto Stock Exchange,USD,1.38,CAD,-
GEV,GE VERNOVA INC,Industrials,Equity,"12,512,876.65",0.22,"12,512,876.65","20,003.00",625.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"12,466,132.38",0.21,"12,466,132.38","22,906.00",544.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"12,059,269.20",0.21,"12,059,269.20","66,042.00",182.6,United States,NASDAQ,USD,1,USD,-
BLK,BLACKROCK INC,Financials,Equity,"12,018,240.18",0.21,"12,018,240.18","10,698.00","1,123.41",United States,New York Stock Exchange Inc.,USD,1,USD,-
BA,BOEING,Industrials,Equity,"11,778,015.42",0.2,"11,778,015.42","54,543.00",215.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALV,ALLIANZ,Financials,Equity,"11,737,914.91",0.2,"11,737,914.91","28,235.00",415.72,Germany,Xetra,USD,0.85,EUR,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"11,672,793.44",0.2,"11,672,793.44","25,958.00",449.68,United States,NASDAQ,USD,1,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"11,652,745.50",0.2,"11,652,745.50","124,575.00",93.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
ULVR,UNILEVER PLC,Consumer Staples,Equity,"11,378,688.70",0.2,"11,378,688.70","181,259.00",62.78,United Kingdom,London Stock Exchange,USD,0.74,GBP,-
TJX,TJX INC,Consumer Discretionary,Equity,"11,361,901.32",0.2,"11,361,901.32","81,459.00",139.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"11,049,028.25",0.19,"11,049,028.25","107,575.00",102.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"10,999,872.78",0.19,"10,999,872.78","40,466.00",271.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"10,990,263.36",0.19,"10,990,263.36","93,966.00",116.96,United States,NASDAQ,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"10,983,529.04",0.19,"10,983,529.04","31,439.00",349.36,United States,NASDAQ,USD,1,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"10,870,506.34",0.19,"10,870,506.34","45,571.00",238.54,United States,New York Stock Exchange Inc.,USD,1,USD,-
SU,SCHNEIDER ELECTRIC,Industrials,Equity,"10,811,646.67",0.19,"10,811,646.67","39,739.00",272.07,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
AMGN,AMGEN INC,Health Care,Equity,"10,792,753.11",0.19,"10,792,753.11","39,049.00",276.39,United States,NASDAQ,USD,1,USD,-
SAN,BANCO SANTANDER SA,Financials,Equity,"10,774,903.30",0.19,"10,774,903.30","1,082,228.00",9.96,Spain,Bolsa De Madrid,USD,0.85,EUR,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"10,756,531.08",0.19,"10,756,531.08","150,147.00",71.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"10,752,405.21",0.19,"10,752,405.21","77,139.00",139.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"10,492,561.08",0.18,"10,492,561.08","42,261.00",248.28,United States,New York Stock Exchange Inc.,USD,1,USD,-
ETN,EATON PLC,Industrials,Equity,"10,474,253.40",0.18,"10,474,253.40","28,626.00",365.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
MC,LVMH,Consumer Discretionary,Equity,"10,460,503.94",0.18,"10,460,503.94","18,180.00",575.39,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"10,377,853.92",0.18,"10,377,853.92","87,444.00",118.68,United States,New York Stock Exchange Inc.,USD,1,USD,-
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"10,374,856.16",0.18,"10,374,856.16","46,366.00",223.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"10,360,589.30",0.18,"10,360,589.30","90,446.00",114.55,United States,NASDAQ,USD,1,USD,-
BHP,BHP GROUP LTD,Materials,Equity,"9,996,185.71",0.17,"9,996,185.71","368,698.00",27.11,Australia,Asx - All Markets,USD,1.51,AUD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"9,956,171.18",0.17,"9,956,171.18","47,083.00",211.46,United States,NASDAQ,USD,1,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"9,898,186.40",0.17,"9,898,186.40","58,988.00",167.8,United States,NASDAQ,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"9,829,140.86",0.17,"9,829,140.86","411,778.00",23.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,"9,784,584.00",0.17,"9,784,584.00","16,812.00",582,United States,NASDAQ,USD,1,USD,-
TD,TORONTO DOMINION,Financials,Equity,"9,763,982.93",0.17,"9,763,982.93","127,188.00",76.77,Canada,Toronto Stock Exchange,USD,1.38,CAD,-
AIR,AIRBUS GROUP,Industrials,Equity,"9,704,357.72",0.17,"9,704,357.72","42,828.00",226.59,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
BX,BLACKSTONE INC,Financials,Equity,"9,591,601.50",0.17,"9,591,601.50","52,890.00",181.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"9,566,633.04",0.16,"9,566,633.04","24,956.00",383.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"9,422,901.45",0.16,"9,422,901.45","48,005.00",196.29,United States,NASDAQ,USD,1,USD,-
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,Equity,"9,396,418.38",0.16,"9,396,418.38","613,299.00",15.32,United Kingdom,London Stock Exchange,USD,0.74,GBP,-
UBSG,UBS GROUP AG,Financials,Equity,"9,375,667.23",0.16,"9,375,667.23","230,828.00",40.62,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
UNP,UNION PACIFIC CORP,Industrials,Equity,"9,342,137.70",0.16,"9,342,137.70","43,470.00",214.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
6501,HITACHI LTD,Industrials,Equity,"9,291,494.16",0.16,"9,291,494.16","335,400.00",27.7,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
KLAC,KLA CORP,Information Technology,Equity,"9,285,440.64",0.16,"9,285,440.64","9,632.00",964.02,United States,NASDAQ,USD,1,USD,-
TTE,TOTALENERGIES,Energy,Equity,"9,049,349.13",0.16,"9,049,349.13","148,056.00",61.12,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
TMUS,T MOBILE US INC,Communication,Equity,"8,979,414.56",0.15,"8,979,414.56","37,148.00",241.72,United States,NASDAQ,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"8,952,284.34",0.15,"8,952,284.34","270,789.00",33.06,United States,NASDAQ,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"8,949,644.55",0.15,"8,949,644.55","47,091.00",190.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
DTE,DEUTSCHE TELEKOM N AG,Communication,Equity,"8,887,219.35",0.15,"8,887,219.35","252,530.00",35.19,Germany,Xetra,USD,0.85,EUR,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"8,872,678.64",0.15,"8,872,678.64","36,184.00",245.21,United States,NASDAQ,USD,1,USD,-
DE,DEERE,Industrials,Equity,"8,805,594.65",0.15,"8,805,594.65","18,715.00",470.51,United States,New York Stock Exchange Inc.,USD,1,USD,-
SAF,SAFRAN SA,Industrials,Equity,"8,771,301.59",0.15,"8,771,301.59","26,189.00",334.92,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
MDT,MEDTRONIC PLC,Health Care,Equity,"8,751,936.28",0.15,"8,751,936.28","93,076.00",94.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,"8,703,691.45",0.15,"8,703,691.45","41,875.00",207.85,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"8,637,411.50",0.15,"8,637,411.50","29,429.00",293.5,United States,NASDAQ,USD,1,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"8,635,180.32",0.15,"8,635,180.32","93,424.00",92.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,Equity,"8,548,154.82",0.15,"8,548,154.82","151,554.00",56.4,United Kingdom,London Stock Exchange,USD,0.74,GBP,-
IBE,IBERDROLA SA,Utilities,Equity,"8,474,438.16",0.15,"8,474,438.16","460,429.00",18.41,Spain,Bolsa De Madrid,USD,0.85,EUR,-
9984,SOFTBANK GROUP CORP,Communication,Equity,"8,332,656.17",0.14,"8,332,656.17","67,500.00",123.45,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
ABBN,ABB LTD,Industrials,Equity,"8,170,302.50",0.14,"8,170,302.50","114,600.00",71.29,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"8,143,830.20",0.14,"8,143,830.20","122,188.00",66.65,United States,New York Stock Exchange Inc.,USD,1,USD,-
UCG,UNICREDIT,Financials,Equity,"7,972,246.09",0.14,"7,972,246.09","101,922.00",78.22,Italy,Borsa Italiana,USD,0.85,EUR,-
WELL,WELLTOWER INC,Real Estate,Equity,"7,952,154.34",0.14,"7,952,154.34","47,018.00",169.13,United States,New York Stock Exchange Inc.,USD,1,USD,-
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,Equity,"7,949,701.19",0.14,"7,949,701.19","418,068.00",19.02,Spain,Bolsa De Madrid,USD,0.85,EUR,-
OR,LOREAL SA,Consumer Staples,Equity,"7,872,285.67",0.14,"7,872,285.67","17,617.00",446.86,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"7,840,205.80",0.14,"7,840,205.80","17,978.00",436.1,United States,NASDAQ,USD,1,USD,-
SAN,SANOFI SA,Health Care,Equity,"7,791,928.34",0.13,"7,791,928.34","82,335.00",94.64,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
ENB,ENBRIDGE INC,Energy,Equity,"7,751,815.92",0.13,"7,751,815.92","157,927.00",49.08,Canada,Toronto Stock Exchange,USD,1.38,CAD,-
PLD,PROLOGIS REIT INC,Real Estate,Equity,"7,741,945.95",0.13,"7,741,945.95","67,117.00",115.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"7,734,218.40",0.13,"7,734,218.40","11,106.00",696.4,Sweden,New York Stock Exchange Inc.,USD,1,USD,-
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,"7,680,118.88",0.13,"7,680,118.88","3,283.00","2,339.36",United States,NASDAQ,USD,1,USD,-
CB,CHUBB LTD,Financials,Equity,"7,667,770.81",0.13,"7,667,770.81","27,571.00",278.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"7,662,954.32",0.13,"7,662,954.32","318,229.00",24.08,United States,NASDAQ,USD,1,USD,-
1299,AIA GROUP LTD,Financials,Equity,"7,606,735.58",0.13,"7,606,735.58","781,000.00",9.74,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.78,HKD,-
7974,NINTENDO LTD,Communication,Equity,"7,588,880.99",0.13,"7,588,880.99","78,700.00",96.43,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
ZURN,ZURICH INSURANCE GROUP AG,Financials,Equity,"7,556,731.52",0.13,"7,556,731.52","10,540.00",716.96,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"7,512,849.16",0.13,"7,512,849.16","270,600.00",27.76,Japan,Tokyo Stock Exchange,USD,147.68,JPY,-
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"7,403,810.24",0.13,"7,403,810.24","22,888.00",323.48,United States,NASDAQ,USD,1,USD,-
SO,SOUTHERN,Utilities,Equity,"7,393,964.18",0.13,"7,393,964.18","80,134.00",92.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"7,384,418.01",0.13,"7,384,418.01","18,717.00",394.53,United States,NASDAQ,USD,1,USD,-
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,Equity,"7,336,410.19",0.13,"7,336,410.19","39,320.00",186.58,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"7,296,475.77",0.13,"7,296,475.77","41,941.00",173.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"7,222,354.44",0.12,"7,222,354.44","15,324.00",471.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
RHM,RHEINMETALL AG,Industrials,Equity,"7,203,618.76",0.12,"7,203,618.76","3,239.00","2,224.03",Germany,Xetra,USD,0.85,EUR,-
MMC,MARSH & MCLENNAN INC,Financials,Equity,"7,191,230.41",0.12,"7,191,230.41","35,437.00",202.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"7,021,750.12",0.12,"7,021,750.12","9,254.00",758.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"6,941,150.10",0.12,"6,941,150.10","56,918.00",121.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
CME,CME GROUP INC CLASS A,Financials,Equity,"6,868,325.50",0.12,"6,868,325.50","26,185.00",262.3,United States,NASDAQ,USD,1,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"6,847,617.28",0.12,"6,847,617.28","19,936.00",343.48,United States,NASDAQ,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"6,800,824.80",0.12,"6,800,824.80","147,204.00",46.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"6,790,345.00",0.12,"6,790,345.00","63,166.00",107.5,United States,NASDAQ,USD,1,USD,01-Jan-70
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"6,741,107.10",0.12,"6,741,107.10","82,309.00",81.9,United States,NASDAQ,USD,1,USD,-
BNP,BNP PARIBAS SA,Financials,Equity,"6,727,545.24",0.12,"6,727,545.24","72,343.00",93,France,Nyse Euronext - Euronext Paris,USD,0.85,EUR,-
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,"6,712,897.58",0.12,"6,712,897.58","26,021.00",257.98,United States,NASDAQ,USD,1,USD,-
